date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:18	18028/18028	---M--	200	added ('OK')	font/woff2	date:Sun,%2015%20Mar%202015%2009:39:20%20GMT	http://world5.commonsupport.com/html/greenture-new/fonts/glyphicons-halflings-regular.woff2	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/fonts/glyphicons-halflings-regular.woff2	(from http://world5.commonsupport.com/html/greenture-new/css/bootstrap.css)
17:08:18	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2015%20Mar%202015%2009:39:20%20GMT	http://world5.commonsupport.com/html/greenture-new/fonts/glyphicons-halflings-regular.eot?	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/fonts/glyphicons-halflings-regulard41d.eot	(from http://world5.commonsupport.com/html/greenture-new/css/bootstrap.css)
17:08:20	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2015%20Mar%202015%2009:39:20%20GMT	http://world5.commonsupport.com/html/greenture-new/fonts/glyphicons-halflings-regular.svg	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/fonts/glyphicons-halflings-regular.svg	(from http://world5.commonsupport.com/html/greenture-new/css/bootstrap.css)
17:08:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2022:08:22%20GMT	http://world5.commonsupport.com/html/greenture-new/images/gradient/g30.png	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/images/gradient/g30.png	(from http://world5.commonsupport.com/html/greenture-new/css/revolution-slider.css)
17:08:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Mar%202020%2022:08:23%20GMT	http://world5.commonsupport.com/html/greenture-new/images/gradient/g40.png	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/images/gradient/g40.png	(from http://world5.commonsupport.com/html/greenture-new/css/revolution-slider.css)
17:08:23	4289/4289	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Apr%202015%2007:28:18%20GMT	http://world5.commonsupport.com/html/greenture-new/css/assets/shadow1.png	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/css/assets/shadow1.png	(from http://world5.commonsupport.com/html/greenture-new/css/revolution-slider.css)
17:08:24	82221/82221	---M--	200	added ('OK')	application/javascript	date:Mon,%2023%20Mar%202015%2019:30:54%20GMT	http://world5.commonsupport.com/html/greenture-new/js/owl.js	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/js/owl.js	(from http://world5.commonsupport.com/html/greenture-new/index.html)
17:08:24	23424/23424	---M--	200	added ('OK')	font/woff	date:Sun,%2015%20Mar%202015%2009:39:20%20GMT	http://world5.commonsupport.com/html/greenture-new/fonts/glyphicons-halflings-regular.woff	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/fonts/glyphicons-halflings-regular.woff	(from http://world5.commonsupport.com/html/greenture-new/css/bootstrap.css)
17:08:24	5661/5661	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Apr%202015%2007:28:20%20GMT	http://world5.commonsupport.com/html/greenture-new/css/assets/shadow2.png	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/css/assets/shadow2.png	(from http://world5.commonsupport.com/html/greenture-new/css/revolution-slider.css)
17:08:24	933/933	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Apr%202015%2007:28:12%20GMT	http://world5.commonsupport.com/html/greenture-new/css/assets/gridtile.png	C:/Mis%20lugares%20Web/tambopata1/world5.commonsupport.com/html/greenture-new/css/assets/gridtile.png	(from http://world5.commonsupport.com/html/greenture-new/css/revolution-slider.css)
